Date,Price,Open,High,Low,Vol.,Change %
03-10-2023,"56,279","56,209","56,539","56,150",0.02,-1.45%
29-09-2023,"57,105","57,382","57,607","57,096",0.59,-0.04%
28-09-2023,"57,128","57,631","57,647","57,026",2.21,-0.94%
27-09-2023,"57,672","58,450","58,450","57,622",7.06,-1.30%
26-09-2023,"58,432","58,616","58,749","58,404",5.34,-0.46%
25-09-2023,"58,701","58,884","58,996","58,676",5.16,-0.42%
22-09-2023,"58,946","58,730","58,986","58,729",3.45,0.21%
21-09-2023,"58,822","59,315","59,315","58,685",6.11,-0.98%
20-09-2023,"59,405","59,222","59,443","59,109",4.72,0.21%
19-09-2023,"59,282","59,240","59,388","59,240",1.28,0.04%
18-09-2023,"59,259","58,913","59,275","58,913",3.44,0.45%
15-09-2023,"58,993","58,674","59,148","58,673",5.47,0.69%
14-09-2023,"58,588","58,550","58,620","58,354",3.9,-0.01%
13-09-2023,"58,593","58,550","58,695","58,523",3.29,-0.06%
12-09-2023,"58,626","58,995","58,995","58,520",4.28,-0.52%
11-09-2023,"58,930","58,930","59,100","58,888",3.33,0.05%
08-09-2023,"58,898","59,146","59,205","58,864",3.55,-0.17%
07-09-2023,"58,998","59,043","59,128","58,970",2.7,-0.15%
06-09-2023,"59,088","59,165","59,300","59,010",3,-0.26%
05-09-2023,"59,243","59,347","59,460","59,207",2.74,-0.25%
04-09-2023,"59,393","59,570","59,574","59,330",3.13,0.00%
01-09-2023,"59,395","59,296","59,665","59,271",5.46,0.04%
31-08-2023,"59,374","59,490","59,563","59,351",3.31,-0.17%
30-08-2023,"59,478","59,282","59,550","59,282",3.33,0.36%
29-08-2023,"59,266","58,949","59,289","58,843",4.64,0.64%
28-08-2023,"58,887","58,685","59,000","58,671",3.32,0.42%
25-08-2023,"58,640","58,743","58,875","58,492",4.38,-0.29%
24-08-2023,"58,811","58,800","58,895","58,662",2.96,-0.01%
23-08-2023,"58,819","58,600","58,848","58,506",4.19,0.42%
22-08-2023,"58,574","58,526","58,674","58,361",4.11,0.14%
21-08-2023,"58,490","58,420","58,640","58,281",4.86,0.20%
18-08-2023,"58,375","58,370","58,580","58,340",2.99,0.15%
17-08-2023,"58,290","58,453","58,689","58,275",5.19,-0.67%
16-08-2023,"58,681","58,831","58,903","58,665",3.56,-0.50%
14-08-2023,"58,974","58,904","59,019","58,810",2.97,0.12%
11-08-2023,"58,906","58,800","59,030","58,740",3.06,0.09%
10-08-2023,"58,853","59,130","59,146","58,725",4.23,-0.20%
09-08-2023,"58,973","59,321","59,361","58,952",4.4,-0.46%
08-08-2023,"59,248","59,390","59,474","59,178",5.02,-0.29%
07-08-2023,"59,420","59,550","59,567","59,313",4.89,0.38%
04-08-2023,"59,197","59,100","59,399","58,951",0.01,0.09%
03-08-2023,"59,146","59,843","59,855","58,851",0.04,0.03%
02-08-2023,"59,127","59,182","59,499","59,100",0.05,0.32%
01-08-2023,"58,939","59,426","59,524","58,855",0.08,-1.06%
31-07-2023,"59,568","59,390","59,650","59,176",0.91,0.24%
28-07-2023,"59,427","59,091","59,455","58,987",3.6,0.81%
27-07-2023,"58,950","59,610","59,680","58,740",5.65,-0.86%
26-07-2023,"59,461","59,214","59,575","59,190",4.43,0.46%
25-07-2023,"59,189","59,041","59,265","58,950",4.78,0.19%
24-07-2023,"59,076","59,241","59,320","59,055",5.2,-0.39%
21-07-2023,"59,309","59,543","59,587","59,176",4.66,-0.41%
20-07-2023,"59,552","59,945","59,984","59,459",5.94,-0.40%
19-07-2023,"59,790","59,765","59,878","59,587",4.55,0.05%
18-07-2023,"59,763","59,215","59,910","59,215",7.13,1.06%
17-07-2023,"59,135","59,147","59,269","58,939",4.61,-0.31%
14-07-2023,"59,316","59,264","59,379","59,141",4.51,0.13%
13-07-2023,"59,239","59,230","59,375","59,122",4.6,0.09%
12-07-2023,"59,188","58,900","59,248","58,720",6.73,0.71%
11-07-2023,"58,773","58,661","58,909","58,600",5.07,0.14%
10-07-2023,"58,689","58,739","58,739","58,403",4.1,-0.16%
07-07-2023,"58,782","58,374","58,949","58,331",6.15,0.65%
06-07-2023,"58,401","58,638","58,650","58,120",7.09,-0.12%
05-07-2023,"58,473","58,410","58,779","58,366",5.05,0.11%
04-07-2023,"58,409","58,275","58,545","58,265",3.84,0.23%
03-07-2023,"58,277","58,154","58,480","57,971",5.91,0.11%
30-06-2023,"58,211","57,980","58,305","57,792",5.78,0.34%
29-06-2023,"58,014","58,000","58,140","57,651",4.16,-0.11%
28-06-2023,"58,078","58,176","58,198","57,880",4.73,-0.05%
27-06-2023,"58,107","58,493","58,549","58,069",5.63,-0.52%
26-06-2023,"58,412","58,429","58,670","58,352",4.35,0.18%
23-06-2023,"58,307","58,136","58,740","58,096",6.15,0.19%
22-06-2023,"58,196","58,613","58,663","58,150",5.56,-0.88%
21-06-2023,"58,714","58,824","58,865","58,375",4.93,-0.16%
20-06-2023,"58,809","59,222","59,392","58,663",6.17,-0.59%
19-06-2023,"59,157","59,272","59,370","59,115",2.83,-0.33%
16-06-2023,"59,354","59,340","59,555","59,234",4.93,0.00%
15-06-2023,"59,355","59,210","59,385","58,661",9.14,0.10%
14-06-2023,"59,298","59,301","59,465","59,148",4.74,0.14%
13-06-2023,"59,218","59,755","59,885","59,184",6.99,-0.71%
12-06-2023,"59,641","59,713","59,920","59,505",4.69,-0.30%
09-06-2023,"59,821","59,934","60,116","59,727",4.05,-0.12%
08-06-2023,"59,891","59,528","60,048","59,425",6.93,0.65%
07-06-2023,"59,503","59,977","60,098","59,401",8.48,-0.80%
06-06-2023,"59,985","59,869","60,074","59,766",4.45,0.83%
05-06-2023,"59,493","59,500","59,549","59,419",0.01,-0.47%
02-06-2023,"59,773","60,275","60,350","59,650",0.05,-0.24%
01-06-2023,"59,919","60,057","60,271","59,700",0.02,-0.41%
31-05-2023,"60,163","59,946","60,350","59,840",0.15,0.36%
30-05-2023,"59,946","59,401","60,064","59,225",1.19,0.89%
29-05-2023,"59,419","59,406","59,631","59,260",4.78,0.11%
26-05-2023,"59,353","59,542","59,660","59,225",5.02,-0.18%
